"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Arménie","ARM","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8840243","80.00290747","80.12921005","80.25843291","80.38827188","80.51869292","80.6497671","80.78142981","80.91373904","81.04664328","81.18016973","81.79551015","82.41306782","83.03306749","83.63866051","84.12902976","84.6196882","85.42311993","85.92295741","86.42296899","86.91066001","",
"Samoa américaines","ASM","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.83109366","79.03461983","80.23993918","81.44705169","82.65595737","83.86665622","85.07914824","86.29343343","87.50951178","88.72738331","89.947048","91.16850586","92.39175689","93.61680108","94.84363845","96.07226898","97.30269268","98.36197279","98.36197279","98.36197279","98.36197279","",
"Antigua-et-Barbuda","ATG","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australie","AUS","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Autriche","AUT","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.45434703","96.66067317","96.86700222","97.07332836","97.27965449","97.48597486","97.69230677","97.89862716","98.10495617","98.31128232","98.51761132","98.72393746","98.91425332","98.91264679","98.91103181","98.90942251","98.90780749","98.90619826","98.90447548","98.9026198","98.900642","",
"Azerbaïdjan","AZE","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.84358729","59.60737343","61.39782398","63.21550819","65.0596451","66.92948058","68.82511779","70.74662724","72.69287893","74.66394509","76.66510273","78.69497302","80.46702109","81.96018446","83.47031373","84.99569481","85.69377094","86.38904431","87.08107236","87.74410931","88.32276401","",
"Burundi","BDI","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgique","BEL","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.41810223","99.41809458","99.4180984","99.41809986","99.41810188","99.41809927","99.41809926","99.41809444","99.41809672","99.41810037","99.46766863","99.51724425","99.5668098","99.61638142","99.66595263","99.71552438","99.76509934","99.81466773","99.8642388","99.91381172","99.91380843","",
"Bénin","BEN","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
