"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Arménie","ARM","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23","","","","","5.79","","","","","5.69","","","","","5.84","","","5.55","","","",
"Samoa américaines","ASM","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua-et-Barbuda","ATG","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.13","","","","","5.37","","","","","5.6","","","","","5.89","","","6.38","","","",
"Australie","AUS","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.72","","","","","12.08","","","","","12.39","","","","","10.83","","","10.51","","","",
"Autriche","AUT","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.12","","","","","12.79","","","","","12.2","","","","","12.07","","","11.96","","","",
"Azerbaïdjan","AZE","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.45","","","","","1.81","","","","","2.97","","","","","4.58","","","4.41","","","",
"Burundi","BDI","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82","","","","","8.44","","","","","7.66","","","","","7.03","","","7.19","","","",
"Belgique","BEL","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.49","","","","","13.13","","","","","11.4","","","","","11.82","","","11.08","","","",
"Bénin","BEN","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.46","","","","","2.23","","","","","2.47","","","","","2.97","","","2.81","","","",
"Burkina Faso","BFA","Consommation moyenne d’alcool par habitant (litres d’alcool pur, estimations à partir de projections, 15 ans et plus)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","","","","","9.19","","","","","8.58","","","","","11.83","","","12.03","","","",
