BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2019;210987558;210780581;GEN;574;1260;1;IAO;49634;8361;48;15779;5537;14;;;;;;;565;79;;;9;3285;3891;2261;1651;1;1
URGENCES2;2019;210987558;210780581;PED;133;582;1;MAO;22121;;;;;;;;;;;;;;;3126;4;1460;3095;2154;989;;
URGENCES2;2019;210987657;210012175;GEN;218;756;1;IAO;23080;3320;5630;5810;1946;721;0;0;0;;;;487;;;;6;2190;2544;1059;1554;;
URGENCES2;2019;210987665;210012142;GEN;336;420;0;;11679;;;2380;;;1;;;;;;254;;;;3;1095;1530;1306;236;0;0
URGENCES2;2019;210987699;210780706;GEN;406;609;1;IAO;21848;2749;5401;3719;1169;378;350;18;10;;;;673;334;44;;6;1632;1970;945;1060;1;0
URGENCES2;2019;220000012;220000020;GEN;697;1323;1;IAO;73802;8438;21689;20024;5267;3437;0;0;0;0;0;0;564;162;17;;17;6205;6246;3096;3727;1;1
URGENCES2;2019;220000095;220000046;GEN;406;568;1;IAO;30420;4523;7553;7724;2921;564;;;;;;;;;;;8;2920;4747;2161;2758;0;1
URGENCES2;2019;220000343;220000079;GEN;336;742;1;IAO;22896;2557;1432;6005;;;;;;;;;;;;;6;2190;1783;636;1201;1;1
URGENCES2;2019;220000368;220000103;GEN;228;571;1;IAO;23925;3676;4647;6032;1988;570;;;;;;;186;50;17;;6;2190;2808;1363;1529;1;1
URGENCES2;2019;220000541;220000152;GEN;336;252;0;;15102;2456;2971;2935;1292;4;4;3;;;;;871;165;132;;4;1460;807;610;197;1;1
URGENCES2;2019;230000820;230780041;GEN;140;420;1;IAO;21096;3856;3988;5393;2596;578;8;5;;;;;;;;;6;2190;2528;1102;1476;1;0
URGENCES2;2019;230004657;230780058;GEN;168;168;1;IAO;6509;1661;1078;;;;;;;;;;;;;;2;730;721;154;676;1;0
URGENCES2;2019;240000190;240000596;GEN;168;274;1;IAO;13351;;;2223;;;;;;;;;667;;;;4;1460;1595;1409;187;1;1
URGENCES2;2019;240000372;240000059;GEN;322;455;1;IAO;30039;4092;6934;4300;1766;555;0;0;0;0;0;0;587;88;48;;8;2920;3951;1473;3314;0;0
URGENCES2;2019;240000489;240000117;GEN;420;840;1;IAO;46791;6882;12966;11086;;1479;87;;;4;;;;;;;16;5840;4520;1580;3512;1;1
URGENCES2;2019;240000687;240000448;GEN;168;420;;;14917;2330;3156;2975;1285;41;106;8;6;;;;570;119;72;;6;2190;1296;290;1198;;
URGENCES2;2019;250000700;250000452;GEN;259;486;1;IAO;28960;2814;7615;6548;1686;1188;77;1;0;;;;;;;;6;2190;1939;716;1376;1;1
URGENCES2;2019;250006954;250000015;GEN;1092;2019;1;IAO;68596;8357;2628;;;;;;;;;;;;;;3;;6125;3828;2817;1;1
URGENCES2;2019;250006954;250000015;PED;383;482;1;IAO;19613;;;;;;;;;;;;;;;3595;4;1460;1334;457;1039;;
URGENCES2;2019;260000013;260000021;GEN;668;1464;1;IAO;73535;6363;20065;16337;3293;2601;;;;;;;;;;;14;5110;5973;1471;5906;1;1
URGENCES2;2019;260000120;260016910;GEN;238;756;1;IAO;30707;4412;6836;6875;2404;1131;;;;;;;;;;;8;2920;1782;80;2610;1;1
URGENCES2;2019;260000138;260000047;GEN;638;840;1;IAO;46216;4717;10960;7373;2077;1369;10;7;0;7;0;0;780;102;35;;10;3650;5586;1714;4504;0;1
URGENCES2;2019;260000146;260000054;GEN;168;174;;;11531;1060;2616;2099;366;1;;;;;;;207;40;33;;2;730;460;155;322;;
URGENCES2;2019;260000203;260016910;GEN;84;336;0;;6803;466;1871;445;181;13;;;;;;;;;;;0;0;0;0;0;0;0
URGENCES2;2019;260000286;260000104;GEN;168;168;0;;6655;410;1511;869;;;;;;;;;;;;;2;730;575;175;440;1;0
URGENCES2;2019;270000045;270000060;GEN;168;330;1;IAO;18926;2391;3376;2931;1178;35;1;;;;;;;;;;4;1460;1710;414;1498;1;1
URGENCES2;2019;270000326;270000680;GEN;168;424;1;IAO;20618;996;3884;;;;;;;;;;;;;;4;1460;9;1;14;1;1
URGENCES2;2019;270000359;270023724;GEN;777;919;1;IAO;65689;4760;25348;9052;2341;1817;0;0;0;;;;;;;;9;3090;2018;229;2531;0;1
URGENCES2;2019;270000367;270000086;GEN;168;168;1;IAO;16272;1940;3285;;;;;;;0;;;0;;;;2;730;881;103;917;1;1
URGENCES2;2019;270000391;760024042;GEN;168;308;1;IAO;15569;669;4496;533;226;10;4;4;;0;;;143;12;18;;1;365;146;128;18;1;1
URGENCES2;2019;270000425;270000102;GEN;168;168;;;17161;;;;;;;;;;;;;;;;3;;1586;752;887;;
URGENCES2;2019;270000441;270000110;GEN;168;168;0;;15853;1488;4048;888;;;57;;;6;;;301;;;;4;1460;746;107;756;0;0
URGENCES2;2019;270000458;270023724;GEN;238;420;1;IAO;23958;2618;2713;3313;1135;46;6;5;0;;;;;;;;6;2190;1326;367;1111;1;1
URGENCES2;2019;280000084;280000183;GEN;692;1071;1;IAO;69021;5210;24586;10277;2942;1494;190;12;9;;;;;;;;11;4015;3295;598;3133;0;0
URGENCES2;2019;280000662;280500075;GEN;296;464;;;15759;;;3894;;;;;;;;;;;;;4;1460;2254;934;1418;;
URGENCES2;2019;280502998;280000589;GEN;168;168;1;IAO;15767;2496;3115;3003;1380;59;;;;;;;;;;;3;1095;1923;942;1061;0;0
URGENCES2;2019;280504267;280000134;GEN;792;1016;1;IAO;61277;6776;18137;15436;4337;2053;22;19;0;;;;538;93;7;;16;5840;8240;2687;6645;1;1
URGENCES2;2019;280505777;280001199;GEN;195;252;1;IAO;29582;2399;7345;2117;;;;;;;;;;;;;8;2920;791;102;734;1;1
URGENCES2;2019;290000025;290020700;GEN;588;1467;1;IAO;56060;6021;15327;13757;3457;2804;;;;;;;1075;118;15;;24;8760;4235;1417;3016;1;1
URGENCES2;2019;290000033;290021542;GEN;277;750;1;IAO;33143;4852;7088;8462;2967;990;1388;55;57;;;;329;59;29;;5;2858;1632;189;1642;1;1
URGENCES2;2019;290000058;290000017;PED;325;747;1;IAO;26938;;;;;;;;;;;;;;;5445;8;2920;2861;944;1935;;
URGENCES2;2019;290000066;290020700;GEN;71;147;1;IAO;7533;1050;1559;821;408;42;;;;;;;26;12;1;;;;0;0;0;1;1
URGENCES2;2019;290000173;290000041;GEN;198;427;1;IAO;17951;2316;3194;2812;1518;133;327;13;6;;;;187;32;14;;4;1460;1590;406;1298;0;1
URGENCES2;2019;290000181;290000074;GEN;168;488;1;IAO;14020;2678;1964;2793;1445;0;1;1;0;;;;569;186;53;;2;730;1387;704;748;1;1
URGENCES2;2019;290000256;290000017;GEN;336;341;1;IAO;13769;3243;1707;4158;2075;54;0;0;0;0;0;0;112;0;0;;4;1460;1556;283;1385;1;1
URGENCES2;2019;290000728;750821092;GEN;445;700;1;IAO;19442;2086;1360;3467;1221;81;33;1;;;;;485;241;4;;5;1679;1886;454;1552;1;1
URGENCES2;2019;290000785;220020739;GEN;168;252;1;IAO;14622;;;;;;;;;;;;;;;;2;730;1494;1140;355;;
URGENCES2;2019;290000934;560005746;GEN;210;490;1;IAO;21623;3269;4255;4797;2110;28;39;6;1;;;;;;;;6;2190;1673;404;1584;0;1
URGENCES2;2019;290004324;290000017;GEN;646;883;1;IAO;50645;10708;;17480;6869;;2258;;;;;;480;;;;16;5840;4651;371;5960;1;1
URGENCES2;2019;290019777;290022508;GEN;297;579;1;IAO;37834;2532;8588;3220;;;;;;;;;433;;;;6;2190;1029;651;382;1;0
URGENCES2;2019;2A0000022;2A0000014;GEN;444;2016;1;IAO;36912;4481;5993;7634;2175;903;121;88;0;;;;1444;664;17;;8;447;577;138;617;1;1
URGENCES2;2019;2A0000154;2A0000204;GEN;186;186;1;IAO;15959;967;3754;1954;413;147;;;;;;;168;26;59;;4;;512;290;222;1;1
URGENCES2;2019;2B0000012;2B0000020;GEN;450;924;1;IAO;33603;3774;7582;8099;;;245;;;;;;298;;;;6;2190;4416;2176;2661;1;1
URGENCES2;2019;2B0005359;2B0005342;GEN;168;280;1;IAO;16031;1104;3902;2123;529;78;;;;;;;;;;;3;1095;1911;1007;937;1;1
URGENCES2;2019;300000023;300780046;GEN;336;574;1;IAO;42018;6208;9570;9869;3279;1135;458;7;5;0;0;0;395;85;50;;8;2920;4197;943;3484;1;1
URGENCES2;2019;300000031;300780053;GEN;188;238;1;IAO;30144;3565;7873;6271;1821;778;0;0;0;0;0;0;262;39;31;;6;2190;1958;711;1461;1;1
URGENCES2;2019;300780137;920028396;GEN;168;235;1;IAO;12825;1140;2146;1646;480;59;;;;;;;;;;;2;730;474;349;125;1;1
URGENCES2;2019;300782117;300780038;GEN;674;1560;1;IAO;88526;9461;6684;19275;;;220;;;;;;343;;;;10;3650;6690;1058;6730;1;1
URGENCES2;2019;300782117;300780038;PED;192;0;1;IAO;21600;;;;;;;;;;;;;;;3163;1;;501;387;114;;
URGENCES2;2019;300788502;300017985;GEN;312;256;1;IAO;22144;1076;5788;2439;296;180;;;;;;;;;;;5;1825;8;6;2;1;1
URGENCES2;2019;310000310;310780671;GEN;336;420;1;IAO;22556;4667;4669;5917;2426;220;1;1;;;;;;;;;8;2920;2349;823;1602;1;1
URGENCES2;2019;310016977;310781406;PED;592;1205;1;IAO;53522;;;;;;;;;;;;;;;6912;14;4867;;;;;
URGENCES2;2019;310026927;310026794;GEN;168;556;1;IAO;23981;3598;2813;3637;;;;;;;;;;;;;6;2190;936;495;467;1;0
URGENCES2;2019;310780283;310000112;GEN;264;744;1;IAO;31686;;;;;;;;;;;;;;;;10;3650;2083;132;2920;1;0
URGENCES2;2019;310780382;310000179;GEN;168;168;0;;12369;1084;776;1849;462;31;;;;;;;;;;;2;730;5;0;8;1;1
URGENCES2;2019;310781000;310788880;GEN;288;628;1;IAO;24262;3089;1753;7352;1716;74;35;3;0;0;0;0;11;;;;6;2190;2561;1157;1452;1;1
URGENCES2;2019;310781067;310788898;GEN;271;455;1;IAO;15165;;;1510;;;;;;;;;900;;;;5;1825;1410;541;952;;
