BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2019;060780590;060000270;0;0;0;279;0;151;621;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060780715;060000361;1;0;1;9988;0;8886;7393;0;1;;;;4057;0;95;8007;0;624;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;29;49;;;185;1833;0;0;0;0;0;0;1984;0;0;0;3;;;;3;;3;;1;;5;2;;;1;;3.3;;1;0.3;5
CANCERO;2019;060780723;060004959;1;0;1;4989;0;4663;2508;0;1;;;;3546;0;7;4296;0;385;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;0;2797;0;0;0;0;0;0;0;0;0;0;1;;2;;2;;4;;;;1;;;1;1;1;4;;0.74;0.5;1.57
CANCERO;2019;060780756;060000403;0;0;0;750;0;403;1326;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060780947;060800174;0;0;0;30;0;1;248;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060781200;060000635;1;0;0;235;0;67;716;0;0;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060785003;060785011;1;0;0;2600;0;1210;8573;0;0;060789195;;;1029;0;37;1012;0;182;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;060785219;060780608;1;0;1;8493;0;8246;3568;0;1;;;;8428;0;126;8245;0;944;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;0;8424;0;0;0;0;0;0;0;0;0;0;;1;7;;2;1;8;9;;1;;4;1;2;;;10.25;8.04;1;0.2;
CANCERO;2019;060789195;060785011;1;0;1;10353;0;8822;16898;0;1;;;;8863;0;453;7964;0;879;0;97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;19;14;;;392;2;0;0;0;0;0;0;5043;0;0;0;0;0;1;2;0.4;0.86;;;;;;;;;;;;;;;
CANCERO;2019;060800166;060780608;0;0;0;1768;0;901;5109;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;070000013;070002878;1;0;1;808;0;709;1835;0;0;260000138;;;808;0;95;688;0;83;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;4;8;;;95;688;0;0;0;0;0;0;779;0;0;0;0;3;0;0;0;1.54;2;2;0;;;2;1;1;;;2.73;2.5;0.2;;
CANCERO;2019;070000179;070780358;1;0;0;1300;0;1165;1694;0;1;;;;1136;0;17;1088;0;118;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;070000609;070005566;1;0;1;3017;12;2781;3037;14;1;;;;2861;12;45;2723;14;320;9;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;16;10;;;607;3558;0;0;0;2;0;0;6780;0;0;0;2;1;0;1;1.04;1.02;19;15;0;0;6;6;3;3;1;3;18.26;15.7;0.61;0.08;5.26
CANCERO;2019;070780168;070000088;0;0;0;279;0;136;597;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;070780424;070000245;0;0;0;1204;0;455;4443;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;080000425;080000615;1;0;0;4317;0;3530;5955;0;1;;;;3639;0;279;3297;0;468;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;080009392;510007081;0;1;0;10149;;9639;0;;;;;;;;;;;;;;;1;;0;510;9639;320;0;0;446;0;2;2;5;0;2;0;0;0;0;1;1;2;2;5;0.5;2.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;080010267;080010242;1;0;1;659;0;659;659;0;1;;;;659;0;0;659;0;141;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;0;660;0;0;0;0;0;0;0;0;0;0;2;;;;2;;2;;;;;;;;;;2;;;;
