"","ABBREVIATION","NICKNAME","SEASON","Points","Tirs Reussis","Tirs Tentees","% Tirs","3 Points Reussis","3 Points Tentes","% 3 Poins","Lancer Franc Reussi","Lancer Franc Tente","% Lancer Franc","Passes Decisives","Rebond Offensif","Rebond Defensif","Rebond","Interception","Contre","Ballons Perdus"
"481","TOR","Raptors",2003,85.4390243902439,32.3658536585366,77.4146341463415,41.8084436042848,5.6219512195122,15.780487804878,35.6259659969088,15.0853658536585,20.1219512195122,74.969696969697,19.1951219512195,10.1219512195122,29.5,39.6219512195122,7.36585365853658,4.90243902439024,13.3048780487805
"482","TOR","Raptors",2004,99.6219512195122,35.9512195121951,81.0731707317073,44.3441636582431,7.90243902439024,20.5,38.5484830458061,19.8170731707317,25.609756097561,77.3809523809524,20.3658536585366,10.2560975609756,29.8048780487805,40.0609756097561,7.5609756097561,3.85365853658537,12.6219512195122
"483","TOR","Raptors",2005,101.060975609756,36.7439024390244,80.9634146341463,45.383340864588,7.41463414634146,19.7560975609756,37.5308641975309,20.1585365853659,25.4756097560976,79.1287697462901,19.4268292682927,10.5365853658537,27.9390243902439,38.4756097560976,6.45121951219512,3.31707317073171,12.4756097560976
"484","TOR","Raptors",2006,98.8863636363636,36.6704545454545,79.4090909090909,46.1791642816256,6.39772727272727,17.625,36.2991618310767,19.1477272727273,24.2727272727273,78.8857677902622,21.8068181818182,9.07954545454546,30.2613636363636,39.3409090909091,7.125,3.92045454545455,13.0113636363636
"485","TOR","Raptors",2007,100.091954022989,38.3103448275862,82.2183908045977,46.5958339158395,7.05747126436782,18.1494252873563,38.8853704876504,16.4137931034483,20.1379310344828,81.5068493150685,23.8275862068966,9.63218390804598,30.367816091954,40,6.96551724137931,4,11.0804597701149
"486","TOR","Raptors",2008,99.0365853658537,37.2439024390244,81.3780487804878,45.7665218042859,5.84146341463415,15.719512195122,37.1605896043445,18.7073170731707,22.6951219512195,82.4288017195056,22.3780487804878,9.78048780487805,30.6463414634146,40.4268292682927,6.3780487804878,4.75609756097561,12.8536585365854
"487","TOR","Raptors",2009,104.073170731707,39.0121951219512,80.8658536585366,48.2431005881466,6.31707317073171,17.0365853658537,37.0794559770938,19.7317073170732,25.8292682926829,76.3928234183192,22,9.82926829268293,30.5731707317073,40.4024390243902,5.71951219512195,4.68292682926829,12.890243902439
"488","TOR","Raptors",2010,99.0731707317073,38.3414634146341,82.3780487804878,46.5433012583272,4.20731707317073,13.3048780487805,31.6223648029331,18.1829268292683,24.0975609756098,75.4554655870445,21.890243902439,11.7439024390244,28.5731707317073,40.3170731707317,7.08536585365854,4.26829268292683,14.0487804878049
"489","TOR","Raptors",2011,90.6969696969697,34.3636363636364,78.0909090909091,44.0046565774156,5.53030303030303,16.2878787878788,33.953488372093,16.4393939393939,21.3636363636364,76.9503546099291,20.9393939393939,10.5606060606061,31.4242424242424,41.9848484848485,6.5,4.86363636363636,14.5
"490","TOR","Raptors",2012,97.2073170731707,36.3292682926829,81.5243902439024,44.5624532535527,6.96341463414634,20.3048780487805,34.2942942942943,17.5853658536585,22.3292682926829,78.7547788093938,21.5243902439024,10.6219512195122,29.5853658536585,40.2073170731707,7.25609756097561,4.78048780487805,13.219512195122
