"","PLAYER_NAME","SEASON","TEAM_ID","Points","Passes_décisives","Rebonds_Offensifs","Rebonds_Défensifs","Rebonds","Interceptions","Contres","Balles_Perdues","LEAGUE_ID","MIN_YEAR","MAX_YEAR","ABBREVIATION","NICKNAME","YEARFOUNDED","CITY","ARENA","ARENACAPACITY","OWNER","GENERALMANAGER","HEADCOACH","DLEAGUEAFFILIATION"
"5424","Jeremy Pargo",2011,1610612763,2.86363636363636,1.25,0.272727272727273,0.568181818181818,0.840909090909091,0.340909090909091,0,1.04545454545455,0,1995,2019,"MEM","Grizzlies",1995,"Memphis","FedExForum",18119,"Robert Pera","Zach Kleiman","Taylor Jenkins","Memphis Hustle"
"5425","Jeremy Pargo",2012,1610612739,7.84,2.56,0.28,1,1.28,0.48,0.08,1.48,0,1970,2019,"CLE","Cavaliers",1970,"Cleveland","Quicken Loans Arena",20562,"Dan Gilbert","Koby Altman","John Beilein","Canton Charge"
"5426","Jeremy Pargo",2012,1610612755,4.92857142857143,2,0.0714285714285715,1.14285714285714,1.21428571428571,0.0714285714285714,0,0.928571428571428,0,1949,2019,"PHI","76ers",1949,"Philadelphia","Wells Fargo Center",NA,"Joshua Harris","Elton Brand","Brett Brown","Delaware Blue Coats"
"5427","Jeremy Pargo",2019,1610612744,8.33333333333333,2.66666666666667,0.333333333333333,0.666666666666667,1,0.333333333333333,0,1.33333333333333,0,1946,2019,"GSW","Warriors",1946,"Golden State","Chase Center",19596,"Joe Lacob","Bob Myers","Steve Kerr","Santa Cruz Warriors"
"5428","Jeremy Richardson",2006,1610612737,1.6,0,0.2,0.2,0.4,0.2,0,0.2,0,1949,2019,"ATL","Hawks",1949,"Atlanta","State Farm Arena",18729,"Tony Ressler","Travis Schlenk","Lloyd Pierce","Erie Bayhawks"
"5429","Jeremy Richardson",2006,1610612757,0,0,0,0,0,0,0,0,0,1970,2019,"POR","Trail Blazers",1970,"Portland","Moda Center",19980,"Paul Allen","Neil Olshey","Terry Stotts","No Affiliate"
"5430","Jeremy Richardson",2007,1610612737,1.5,0,0.0454545454545455,0.272727272727273,0.318181818181818,0.0909090909090909,0,0.227272727272727,0,1949,2019,"ATL","Hawks",1949,"Atlanta","State Farm Arena",18729,"Tony Ressler","Travis Schlenk","Lloyd Pierce","Erie Bayhawks"
"5431","Jeremy Richardson",2007,1610612759,2,0.2,0,0.2,0.2,0.2,0,0,0,1976,2019,"SAS","Spurs",1976,"San Antonio","AT&T Center",18694,"Peter Holt","Brian Wright","Gregg Popovich","Austin Spurs"
"5432","Jeremy Richardson",2007,1610612763,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,1995,2019,"MEM","Grizzlies",1995,"Memphis","FedExForum",18119,"Robert Pera","Zach Kleiman","Taylor Jenkins","Memphis Hustle"
"5433","Jeremy Richardson",2008,1610612753,2.84615384615385,0.230769230769231,0.0769230769230769,1,1.07692307692308,0,0,0.307692307692308,0,1989,2019,"ORL","Magic",1989,"Orlando","Amway Center",0,"Rick DeVos","John Hammond","Steve Clifford","Lakeland Magic"
