identifiant,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,doctorat,revenu_sup_3000,lab,femme,age,nb_HH,recyclage_index
LAB5024,LAB5013,LAB5010,LAB5022,LAB5021,NA,NA,1,1,LAB5,0,62,2,0.6666667
LAB5025,LAB5001,LAB5003,LAB5017,LAB5027,LAB5013,NA,1,0,LAB5,0,33,1,0.6666667
LAB5026,LAB5027,LAB5001,LAB5003,LAB5007,LAB5014,NA,0,1,LAB5,0,26,2,0.3333333
LAB5027,LAB5001,LAB5026,LAB5007,LAB5003,LAB5014,NA,0,0,LAB5,0,29,1,0.4444444
LAB5028,LAB5012,LAB5017,NA,LAB5020,NA,NA,1,0,LAB5,1,42,4,0.5555556
LAB5029,NA,LAB5014,LAB5028,NA,NA,NA,1,1,LAB5,1,32,2,0.7777778
LAB5031,LAB5001,LAB5029,NA,NA,NA,NA,0,0,LAB5,0,27,2,0.5555556
LAB5032,LAB5005,LAB5017,LAB5009,LAB5020,LAB5007,LAB5028,1,1,LAB5,1,61,2,0.7777778
LAB6001,LAB6006,LAB6009,LAB6007,LAB6003,NA,LAB6036,1,1,LAB6,1,54,3,0.5555556
LAB6003,LAB6007,LAB6012,LAB6043,LAB6005,LAB6034,NA,1,0,LAB6,0,38,3,0.8888889
LAB6004,LAB6022,LAB6001,LAB6009,LAB6011,LAB6012,NA,1,1,LAB6,0,54,3,0.6666667
LAB6005,LAB6043,LAB6007,NA,NA,NA,NA,0,0,LAB6,1,29,1,0.6666667
LAB6006,LAB6009,LAB6001,LAB6007,NA,NA,NA,1,1,LAB6,1,47,3,0.7777778
LAB6007,LAB6003,LAB6005,NA,LAB6043,LAB6001,NA,1,1,LAB6,1,32,2,0.7777778
LAB6008,LAB6001,NA,NA,NA,NA,NA,1,1,LAB6,0,56,2,0.8888889
LAB6009,LAB6006,LAB6001,NA,LAB6011,LAB6024,LAB6022,1,1,LAB6,1,47,2,0.4444444
LAB6010,LAB6015,LAB6020,LAB6021,NA,NA,NA,1,1,LAB6,1,31,2,0.7777778
LAB6011,LAB6009,LAB6022,LAB6004,LAB6012,NA,NA,1,1,LAB6,1,61,2,0.6666667
LAB6012,LAB6043,LAB6003,NA,NA,NA,NA,1,1,LAB6,0,48,3,0.5555556
LAB6014,LAB6027,LAB6017,NA,NA,NA,NA,1,1,LAB6,1,45,5,0.7777778
LAB6015,LAB6021,LAB6010,LAB6030,NA,NA,NA,1,1,LAB6,0,44,4,0.8888889
LAB6017,LAB6014,LAB6027,LAB6024,NA,NA,NA,1,1,LAB6,1,44,4,0.6666667
LAB6020,LAB6015,LAB6021,LAB6010,NA,LAB6025,NA,1,1,LAB6,1,45,4,0.7777778
LAB6021,LAB6015,LAB6020,NA,NA,NA,NA,1,0,LAB6,0,30,1,0.7777778
LAB6022,LAB6004,LAB6011,LAB6009,NA,LAB6024,NA,1,1,LAB6,0,57,4,0.6666667
LAB6024,LAB6012,NA,LAB6042,NA,NA,NA,1,1,LAB6,0,43,2,0.6666667
LAB6025,LAB6015,LAB6020,LAB6030,NA,NA,NA,1,1,LAB6,0,49,5,0.6666667
LAB6027,NA,NA,LAB6017,LAB6014,LAB6033,NA,1,1,LAB6,1,41,4,0.7777778
LAB6028,NA,LAB6021,LAB6038,LAB6010,NA,NA,0,0,LAB6,0,26,1,0.5555556
LAB6030,LAB6032,NA,NA,NA,NA,NA,0,0,LAB6,0,26,1,0.5555556
LAB6032,LAB6030,NA,NA,NA,NA,NA,0,0,LAB6,0,26,1,1
LAB6033,LAB6027,NA,NA,NA,LAB6032,NA,0,0,LAB6,1,26,0,0.6666667
LAB6034,LAB6003,NA,NA,NA,NA,NA,0,0,LAB6,1,26,1,0.5555556
LAB6036,LAB6001,NA,NA,NA,NA,NA,0,0,LAB6,0,25,4,0.6666667
LAB6037,LAB6006,NA,NA,NA,NA,NA,0,0,LAB6,1,24,1,0.6666667
LAB6038,LAB6030,LAB6028,NA,LAB6015,NA,NA,0,1,LAB6,0,24,3,0.4444444
LAB6039,LAB6012,NA,NA,NA,NA,NA,1,0,LAB6,1,33,1,1
LAB6042,LAB6024,LAB6011,NA,NA,NA,NA,1,1,LAB6,0,62,2,0.5555556
LAB6043,LAB6005,LAB6012,NA,NA,NA,NA,1,1,LAB6,0,35,2,0.6666667
LAB7001,LAB7014,NA,LAB7015,LAB7026,NA,LAB7027,1,1,LAB7,0,58,1,0.5555556
LAB7002,LAB7017,LAB7006,LAB7035,NA,LAB7015,LAB7024,1,1,LAB7,1,28,2,0.5555556
LAB7003,LAB7035,NA,NA,NA,NA,NA,0,0,LAB7,0,39,1,0.4444444
LAB7004,NA,LAB7020,NA,NA,NA,NA,0,0,LAB7,1,25,2,0.6666667
LAB7005,LAB7006,NA,NA,LAB7031,LAB7035,NA,0,0,LAB7,0,26,2,0.8888889
LAB7006,LAB7005,NA,LAB7002,LAB7015,LAB7035,NA,1,1,LAB7,1,27,2,0.6666667
LAB7007,LAB7018,LAB7013,NA,LAB7019,LAB7028,NA,1,1,LAB7,0,57,2,0.5555556
LAB7009,LAB7001,NA,NA,NA,NA,NA,0,1,LAB7,0,41,5,0.6666667
LAB7012,LAB7016,LAB7007,LAB7014,NA,LAB7013,LAB7003,1,1,LAB7,0,31,3,0.7777778
LAB7013,LAB7007,LAB7009,NA,NA,NA,NA,1,1,LAB7,0,51,5,0.6666667
LAB7014,NA,LAB7001,LAB7018,LAB7035,NA,NA,1,1,LAB7,1,36,4,0.7777778
LAB7015,LAB7001,LAB7002,LAB7006,LAB7012,LAB7020,LAB7016,1,1,LAB7,1,31,2,0.8888889
LAB7016,LAB7020,LAB7012,LAB7002,NA,NA,LAB7031,1,1,LAB7,1,30,3,0.7777778
LAB7017,LAB7031,LAB7002,NA,LAB7016,LAB7020,NA,0,0,LAB7,1,43,4,0.5555556
LAB7018,LAB7007,LAB7019,LAB7013,LAB7014,NA,LAB7024,1,1,LAB7,1,48,3,0.5555556
LAB7019,LAB7018,LAB7009,LAB7013,NA,NA,NA,0,1,LAB7,0,36,3,0.4444444
LAB7020,LAB7016,LAB7002,LAB7012,NA,NA,LAB7014,1,0,LAB7,1,32,1,0.8888889
LAB7024,LAB7001,LAB7027,LAB7028,LAB7035,NA,NA,0,0,LAB7,1,49,3,0.8888889
LAB7025,LAB7001,LAB7009,NA,NA,NA,NA,0,1,LAB7,0,57,2,0.5555556
LAB7026,LAB7035,LAB7001,NA,NA,NA,NA,1,1,LAB7,1,56,2,0.7777778
LAB7027,LAB7024,LAB7001,NA,NA,NA,NA,0,1,LAB7,1,59,2,0.7777778
LAB7028,NA,NA,LAB7001,LAB7007,LAB7009,LAB7014,1,1,LAB7,1,50,6,0.8888889
LAB7031,LAB7002,NA,NA,NA,NA,NA,0,1,LAB7,0,23,6,0.4444444
LAB7033,LAB7026,NA,NA,NA,NA,NA,1,0,LAB7,1,27,1,0.5555556
LAB7034,LAB7017,LAB7031,LAB7002,NA,NA,LAB7020,0,0,LAB7,0,27,2,0.6666667
LAB7035,LAB7002,LAB7026,LAB7024,LAB7001,LAB7005,NA,0,1,LAB7,1,42,3,0.7777778
LAB7038,NA,NA,NA,NA,NA,LAB7005,0,0,LAB7,0,27,1,0.8888889
LAB8001,NA,LAB8030,LAB8020,NA,NA,NA,1,1,LAB8,0,49,4,0.6666667
LAB8002,LAB8022,LAB8017,LAB8033,NA,NA,NA,0,1,LAB8,0,47,4,0.6666667
LAB8003,LAB8009,LAB8015,LAB8010,LAB8033,LAB8007,LAB8031,1,1,LAB8,0,44,5,0.8888889
LAB8005,LAB8035,LAB8007,LAB8026,LAB8038,LAB8033,LAB8020,0,1,LAB8,1,34,4,1
LAB8006,NA,NA,LAB8025,NA,NA,NA,1,1,LAB8,0,56,2,0.5555556
LAB8007,LAB8003,LAB8017,LAB8038,LAB8033,NA,NA,1,1,LAB8,1,45,5,0.8888889
LAB8008,LAB8031,LAB8012,LAB8038,LAB8011,LAB8009,LAB8022,0,0,LAB8,1,58,1,0.4444444
LAB8009,LAB8005,LAB8028,LAB8003,LAB8033,NA,NA,1,0,LAB8,0,35,1,0.4444444
LAB8010,LAB8024,LAB8031,LAB8007,LAB8003,LAB8012,LAB8014,1,1,LAB8,1,40,5,1
LAB8011,LAB8007,LAB8044,LAB8038,NA,NA,NA,1,1,LAB8,1,29,2,0.7777778
LAB8012,LAB8031,LAB8016,LAB8007,LAB8006,LAB8008,LAB8010,1,1,LAB8,0,47,4,0.8888889
LAB8014,LAB8016,LAB8034,LAB8031,LAB8010,LAB8027,LAB8026,1,1,LAB8,0,43,4,0.4444444
LAB8015,LAB8033,LAB8038,LAB8035,LAB8003,NA,NA,1,1,LAB8,1,42,5,0.8888889
LAB8016,LAB8012,LAB8014,LAB8031,NA,NA,NA,1,1,LAB8,0,58,4,0.5555556
LAB8017,LAB8034,LAB8012,LAB8007,LAB8022,NA,NA,1,0,LAB8,1,46,1,0.5555556
LAB8018,LAB8035,LAB8020,LAB8021,LAB8042,LAB8044,NA,0,1,LAB8,0,25,3,0.7777778
LAB8019,LAB8020,NA,NA,NA,NA,NA,1,1,LAB8,0,45,6,0.7777778
LAB8020,LAB8037,LAB8006,LAB8005,NA,LAB8026,NA,1,1,LAB8,1,42,4,0.5555556
LAB8021,LAB8043,LAB8018,LAB8044,NA,NA,NA,0,0,LAB8,1,26,1,1
LAB8022,LAB8002,NA,LAB8017,LAB8007,NA,NA,1,0,LAB8,1,28,1,0.8888889
LAB8024,LAB8010,LAB8034,LAB8031,LAB8017,NA,NA,1,1,LAB8,0,46,4,0.6666667
LAB8025,NA,NA,LAB8032,LAB8038,NA,NA,0,0,LAB8,1,28,1,0.7777778
