Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asie de l’Est et Pacifique (hors revenu élevé),EAP,"Population active, total",SL.TLF.TOTL.IN,993279506,1005366318,1016382718,1028011740,1039780247,1050284784,1059746553,1070514993,1075999072,1079837550,1083558013,1095069305,1101065468,1103993361,1109809034,1114404690,1117012681,1117675468,1121724683,1125796470,1098497741,1105408870,1113589781
de dividende précoce démographique,EAR,"Population active, total",SL.TLF.TOTL.IN,933518546,951229616,966779110,985373549,1005094890,1022149420,1044396615,1069848647,1090276709,1112632185,1136073708,1154268696,1172728284,1185490810,1196654645,1212229162,1225687472,1239632795,1253146662,1294496951,1278395306,1289341233,1327224016
Asie de l’Est et Pacifique,EAS,"Population active, total",SL.TLF.TOTL.IN,1111647121,1124315774,1135617364,1147307260,1159772177,1171118151,1181590417,1193455891,1199633973,1203710766,1207989370,1220053694,1226659553,1230654303,1237875355,1243505068,1247395562,1249389363,1255239348,1260694475,1233057701,1240208392,1249052545
Europe et Asie centrale (hors revenu élevé),ECA,"Population active, total",SL.TLF.TOTL.IN,165577485,165115151,166488945,166416747,166833817,167856309,168431460,170341121,172079023,173277920,174683075,176549998,177237825,178275003,179317157,180492591,181959757,182634827,183159218,182739744,179464484,181861612,89899281
Europe et Asie centrale,ECS,"Population active, total",SL.TLF.TOTL.IN,397500483,397397683,399811902,401867282,403697156,407651972,410636639,414460647,418470187,420447887,422320503,424170912,426584040,428473228,430587892,432485494,435664602,437593544,439171781,439838458,433765808,437379014,349292993
Équateur,ECU,"Population active, total",SL.TLF.TOTL.IN,5171107,5345861,5528235,5717711,6049202,6151040,6391164,6431063,6561532,6457726,6467670,6517322,6732540,6857058,7045425,7548658,7951902,8190955,8227052,8387366,7769265,8652009,8878712
"Égypte, République arabe d’",EGY,"Population active, total",SL.TLF.TOTL.IN,20772661,20792031,20589710,21665373,22756745,23853891,24954020,26081669,26485023,27281764,28739910,29061496,29544119,30181706,30655760,30540697,30927659,30428646,29899860,29708924,29815652,30223373,31166284
Zone euro,EMU,"Population active, total",SL.TLF.TOTL.IN,148075883,148558016,150511034,152704298,153877576,156195486,157916649,159475953,161094507,161453203,161571473,161274254,162358668,162769405,163108937,163432866,164727728,165401462,166079074,166826541,164312419,166065811,169278992
Érythrée,ERI,"Population active, total",SL.TLF.TOTL.IN,1046588,1075435,1115837,1170621,1225484,1249487,1267417,1284303,1329182,1371280,1404850,1439887,1467698,1496989,1504011,1516763,1525017,1545249,1573806,1609065,1632150,1678708,1738165
Espagne,ESP,"Population active, total",SL.TLF.TOTL.IN,18242081,18127540,18960316,19731180,20419303,21197697,21880145,22508326,23150283,23364217,23482007,23558862,23569775,23332032,23091303,23036096,22977372,22897891,22930164,23139046,22838137,23384137,23716311
Estonie,EST,"Population active, total",SL.TLF.TOTL.IN,677885,666973,654956,675620,677677,673381,692994,690862,696060,688933,682870,687615,683905,680462,675361,682934,691074,697561,702032,700314,700236,702973,732290
Éthiopie,ETH,"Population active, total",SL.TLF.TOTL.IN,28200766,29203262,30286922,31429893,32612712,33834090,34936337,36102315,37315620,38592273,39960419,41421329,42951638,44510242,46088892,47702127,49378714,51103465,52819443,54535675,55819516,58059357,60026672
Union européenne,EUU,"Population active, total",SL.TLF.TOTL.IN,199378007,199680845,200246283,202025320,203201956,205560665,207455029,209093243,210836011,211320998,211662118,211220282,212558179,213075412,213766443,214073147,215305164,216450258,217132627,217958466,215140769,216558737,220026545
Fragile et les situations de conflit touchées,FCS,"Population active, total",SL.TLF.TOTL.IN,228851437,233921630,239349184,244984507,250813236,256745659,262490029,268194050,273817147,279713280,285848964,292443005,296306233,300699969,308030273,315941814,323650378,331140051,339704672,347354206,350161868,326662332,317854218
Finlande,FIN,"Population active, total",SL.TLF.TOTL.IN,2583129,2606649,2618114,2620447,2612340,2632616,2660139,2687154,2715926,2688826,2678175,2693382,2700773,2686349,2690277,2699822,2694829,2716261,2749812,2758855,2751071,2774226,2823107
Fidji,FJI,"Population active, total",SL.TLF.TOTL.IN,319906,324952,329671,334199,338590,335118,346566,357794,368200,377788,387052,396150,389837,382931,375549,372681,369664,370220,370965,372229,367253,370522,376303
France,FRA,"Population active, total",SL.TLF.TOTL.IN,27582517,27705599,28039182,28620674,28778198,29016873,29193291,29457032,29670797,29922456,30022647,30031230,30288026,30432523,30411865,30494746,30508008,30547530,30691326,30652293,30379167,31264402,31649853
Îles Féroé,FRO,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
"Micronésie, États fédérés de",FSM,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Population active, total",SL.TLF.TOTL.IN,375808,387112,398989,411511,424768,438907,453495,469143,485789,503378,521999,541221,561279,581923,602234,621349,640490,658145,675085,691827,674538,698691,725373
